,FVG,Top,Bottom,MitigatedIndex
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,1.0,4416.01,4399.82,15.0
12,,,,
13,1.0,4654.88,4647.51,15.0
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,-1.0,4438.19,4426.62,45.0
22,,,,
23,,,,
24,,,,
25,,,,
26,-1.0,4040.8,3993.0,31.0
27,,,,
28,,,,
29,,,,
30,,,,
31,1.0,3830.91,3748.21,33.0
32,,,,
33,,,,
34,-1.0,3820.0,3750.0,36.0
35,,,,
36,,,,
37,,,,
38,1.0,3850.05,3789.99,463.0
39,,,,
40,1.0,4101.0,3976.99,42.0
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,1.0,4425.0,4417.0,459.0
51,1.0,4550.0,4479.5,459.0
52,1.0,4680.59,4658.0,459.0
53,,,,
54,,,,
55,1.0,5379.84,4881.61,61.0
56,1.0,5580.01,5439.99,58.0
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,1.0,5600.0,5596.0,67.0
63,1.0,5850.03,5710.0,65.0
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,1.0,6030.0,5850.02,86.0
73,,,,
74,1.0,6338.02,6248.68,84.0
75,1.0,6685.1,6498.01,82.0
76,1.0,6923.0,6774.67,78.0
77,,,,
78,,,,
79,,,,
80,-1.0,7279.02,7198.49,82.0
81,,,,
82,,,,
83,,,,
84,-1.0,7015.0,6797.98,89.0
85,,,,
86,,,,
87,,,,
88,,,,
89,1.0,7076.0,6684.98,171.0
90,1.0,7451.0,7298.0,92.0
91,,,,
92,,,,
93,1.0,7954.0,7819.99,95.0
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,1.0,8604.72,8369.0,103.0
100,1.0,9112.04,8734.78,103.0
101,1.0,9570.5,9350.0,103.0
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,1.0,11665.58,11600.0,126.0
110,1.0,13050.0,11853.0,113.0
111,1.0,14015.0,13615.23,113.0
112,,,,
113,,,,
114,,,,
115,1.0,15875.0,15720.12,117.0
116,,,,
117,,,,
118,,,,
119,1.0,17190.01,16445.0,122.0
120,1.0,18510.0,17991.0,122.0
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,1.0,14150.0,13818.55,139.0
138,,,,
139,,,,
140,1.0,16011.21,15280.0,142.0
141,,,,
142,,,,
143,-1.0,15610.0,15500.0,1175.0
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
